Chassis No,Reg No,Vehicle Model,Received Date,City,Batch
MD9HAPXF4GR710037,KA01AQ6937,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710059,KA01AQ7030,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710078,KA01AQ6934,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710089,KA01AQ7027,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710099,KA01AQ6898,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710101,KA01AQ6938,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710105,KA01AQ6903,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710107,KA01AQ6902,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710108,KA01AQ6931,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710109,KA01AQ6900,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710111,KA01AQ6908,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710113,KA01AQ6925,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710114,KA01AQ6901,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710117,KA01AQ6921,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710120,KA01AQ6922,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710121,KA01AQ6923,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710124,KA01AQ6919,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710127,KA01AQ6907,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710128,KA01AQ6904,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710129,KA01AQ6920,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710130,KA01AQ6916,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710134,KA01AQ6905,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710135,KA01AQ6906,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710136,KA01AQ6911,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710137,KA01AQ6912,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710138,KA01AQ6914,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710139,KA01AQ6910,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710140,KA01AQ6918,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710141,KA01AQ6915,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4GR710142,KA01AQ6913,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4DR710043,KA01AQ6917,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4DR710044,KA01AQ6926,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4DR710045,KA01AQ6928,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
MD9HAPXF4FR710170,KA01AQ6924,Quantum,22-Nov-24,BLR,BLR_Batch 2_200
